Datetime, D6063059, 1stStgSens, Tube, Null, 2ndStgHeat, 1stStgHeat, AIO 1, AIO 2, AIO 3, AIO 4, DIO, Relays, V1, V2, V3
10:37:30.938 AM 2/13/2018 , 300.0070, 300.0068, 298.5610, NaN, 0.097374, 3.854419, 0.416235, 0.412225, 0.409688, 0.937602, 0, 0, 300.0046, 299.9968, NaN 
10:37:31.939 AM 2/13/2018 , 300.0060, 300.0066, 298.5615, NaN, 0.097097, 3.794402, 0.416309, 0.412287, 0.409742, 0.937649, 0, 0, 300.0046, 299.9987, NaN 
10:37:32.941 AM 2/13/2018 , 300.0054, 300.0102, 298.5617, NaN, 0.097010, 3.657668, 0.416302, 0.412276, 0.409722, 0.937679, 0, 0, 300.0047, 300.0008, NaN 
10:37:33.932 AM 2/13/2018 , 300.0055, 300.0123, 298.5613, NaN, 0.096384, 3.573011, 0.416277, 0.412244, 0.409708, 0.937687, 0, 0, 300.0049, 300.0029, NaN 
10:37:34.934 AM 2/13/2018 , 300.0051, 300.0142, 298.5623, NaN, 0.095877, 3.548466, 0.416272, 0.412260, 0.409669, 0.937620, 0, 0, 300.0052, 300.0051, NaN 
10:37:35.935 AM 2/13/2018 , 300.0055, 300.0166, 298.5633, NaN, 0.095695, 3.382763, 0.416279, 0.412277, 0.409677, 0.937603, 0, 0, 300.0053, 300.0072, NaN 
10:37:36.937 AM 2/13/2018 , 300.0061, 300.0191, 298.5639, NaN, 0.095253, 3.281085, 0.416278, 0.412313, 0.409697, 0.937586, 0, 0, 300.0052, 300.0094, NaN 
10:37:37.938 AM 2/13/2018 , 300.0046, 300.0198, 298.5657, NaN, 0.094950, 3.184561, 0.416294, 0.412373, 0.409707, 0.937657, 0, 0, 300.0053, 300.0117, NaN 
10:37:38.939 AM 2/13/2018 , 300.0068, 300.0246, 298.5654, NaN, 0.094718, 3.036354, 0.416262, 0.412349, 0.409701, 0.937667, 0, 0, 300.0053, 300.0139, NaN 
10:37:39.941 AM 2/13/2018 , 300.0069, 300.0263, 298.5662, NaN, 0.094333, 2.952436, 0.416253, 0.412348, 0.409673, 0.937614, 0, 0, 300.0054, 300.0161, NaN 
10:37:40.942 AM 2/13/2018 , 300.0057, 300.0284, 298.5665, NaN, 0.000000, 2.794143, 0.416213, 0.412315, 0.409649, 0.937581, 0, 0, 300.0055, 300.0184, NaN 
10:37:41.934 AM 2/13/2018 , 300.0062, 300.0313, 298.5675, NaN, 0.000000, 2.656795, 0.416244, 0.412343, 0.409677, 0.937640, 0, 0, 300.0057, 300.0208, NaN 
10:37:42.945 AM 2/13/2018 , 300.0069, 300.0346, 298.5680, NaN, 0.000000, 0.000000, 0.416259, 0.412329, 0.409664, 0.937663, 0, 0, 300.0058, 300.0232, NaN 
10:37:43.937 AM 2/13/2018 , 300.0068, 300.0365, 298.5674, NaN, 0.000000, 0.000000, 0.416242, 0.412317, 0.409668, 0.937693, 0, 0, 300.0059, 300.0256, NaN 
